proc_var,limit,type,dead_band,delay_time
1,0.332437714365152,HIGH,NaN,NaN
2,3666.71471278128,HIGH,NaN,NaN
3,4463.75313301158,HIGH,NaN,NaN
4,9.31874042165174,HIGH,NaN,NaN
5,31.7745619716348,LOW,NaN,NaN
6,46.7140399484731,LOW,NaN,NaN
7,2806.73919252471,HIGH,NaN,NaN
8,66.2114759985201,HIGH,NaN,NaN
9,122.921763345629,HIGH,NaN,NaN
10,0.301776892423529,HIGH,NaN,NaN
11,91.7837740480399,LOW,NaN,NaN
12,52.7840791190625,HIGH,NaN,NaN
13,2711.64819111036,HIGH,NaN,NaN
14,25.6432816396364,HIGH,NaN,NaN
15,52.952152320349,HIGH,NaN,NaN
16,3340.85928250491,HIGH,NaN,NaN
17,23.0966304347178,HIGH,NaN,NaN
18,66.5803405980298,LOW,NaN,NaN
20,273.86000972853,HIGH,NaN,NaN
21,102.54336671425,HIGH,NaN,NaN
22,93.7711198712089,HIGH,NaN,NaN
23,32.6486229607854,HIGH,NaN,NaN
24,15.4144679071091,HIGH,NaN,NaN
25,20.6035242238387,HIGH,NaN,NaN
26,6.34101844427161,HIGH,NaN,NaN
27,21.0852407535441,HIGH,NaN,NaN
28,4.13011246213341,HIGH,NaN,NaN
29,33.3805077842909,HIGH,NaN,NaN
30,22.4751717629603,HIGH,NaN,NaN
31,15.8435762351493,HIGH,NaN,NaN
32,1.38772017888199,HIGH,NaN,NaN
33,16.822202101466,HIGH,NaN,NaN
34,5.62504790791899,HIGH,NaN,NaN
35,6.92753806482162,HIGH,NaN,NaN
36,3.30926930120637,HIGH,NaN,NaN
37,0.0254230536702495,HIGH,NaN,NaN
38,0.607616210828793,HIGH,NaN,NaN
39,0.198885497189456,HIGH,NaN,NaN
40,55.1591287009052,HIGH,NaN,NaN
41,43.5528743927236,LOW,NaN,NaN
43,45.0226311716491,HIGH,NaN,NaN
44,44.9658573339234,LOW,NaN,NaN
45,45.0042747655114,HIGH,NaN,NaN
46,25.0309513359452,LOW,NaN,NaN
47,80.9265608211688,LOW,NaN,NaN
48,39.9742446159461,LOW,NaN,NaN
49,35.8360160885507,HIGH,NaN,NaN
68,48.3614844233732,LOW,NaN,NaN
70,51.2913259227567,HIGH,NaN,NaN
